,realtime_start,date,value
601,2006-03-30,1997-03-01,141921.0
602,2011-04-29,1997-03-01,141934.0
603,2012-04-30,1997-03-01,141512.0
604,2018-06-12,1997-03-01,141528.0
605,2001-06-15,1997-04-01,142766.0
606,2002-02-20,1997-04-01,142855.0
607,2002-05-03,1997-04-01,142823.0
608,2003-04-30,1997-04-01,143517.0
609,2004-03-30,1997-04-01,143371.0
610,2004-04-02,1997-04-01,143369.0
611,2005-03-31,1997-04-01,139930.0
612,2006-03-30,1997-04-01,140683.0
613,2011-04-29,1997-04-01,140669.0
614,2012-04-30,1997-04-01,140455.0
615,2018-06-12,1997-04-01,140472.0
616,2001-06-15,1997-05-01,141059.0
617,2002-02-20,1997-05-01,141236.0
618,2002-05-03,1997-05-01,141414.0
619,2003-04-30,1997-05-01,142039.0
620,2004-03-30,1997-05-01,141889.0
621,2004-04-02,1997-05-01,141945.0
622,2005-03-31,1997-05-01,138590.0
623,2006-03-30,1997-05-01,139653.0
624,2012-04-30,1997-05-01,139403.0
625,2018-06-12,1997-05-01,139418.0
626,2001-06-15,1997-06-01,143016.0
627,2002-02-20,1997-06-01,143105.0
628,2002-05-03,1997-06-01,142979.0
629,2003-04-30,1997-06-01,143556.0
630,2004-03-30,1997-06-01,143617.0
631,2004-04-02,1997-06-01,143594.0
632,2005-03-31,1997-06-01,140365.0
633,2006-03-30,1997-06-01,141309.0
634,2012-04-30,1997-06-01,141104.0
635,2018-06-12,1997-06-01,141109.0
636,2001-06-15,1997-07-01,144479.0
637,2002-02-20,1997-07-01,144569.0
638,2002-05-03,1997-07-01,144728.0
639,2003-04-30,1997-07-01,145343.0
640,2004-03-30,1997-07-01,145356.0
641,2005-03-31,1997-07-01,141945.0
642,2006-03-30,1997-07-01,142885.0
643,2012-04-30,1997-07-01,142610.0
644,2013-05-31,1997-07-01,142605.0
645,2018-06-12,1997-07-01,142583.0
646,2001-06-15,1997-08-01,144983.0
647,2002-05-03,1997-08-01,144961.0
648,2003-04-30,1997-08-01,145562.0
649,2004-03-30,1997-08-01,145596.0
650,2004-04-02,1997-08-01,145588.0
651,2005-03-31,1997-08-01,142235.0
652,2006-03-30,1997-08-01,143182.0
653,2011-04-29,1997-08-01,143131.0
654,2012-04-30,1997-08-01,142610.0
655,2018-06-12,1997-08-01,142605.0
656,2001-06-15,1997-09-01,144849.0
657,2002-02-20,1997-09-01,144939.0
658,2002-05-03,1997-09-01,144986.0
659,2003-04-30,1997-09-01,145370.0
660,2004-03-30,1997-09-01,145323.0
661,2004-04-02,1997-09-01,145365.0
662,2005-03-31,1997-09-01,142084.0
663,2006-03-30,1997-09-01,143054.0
